Department,Month,Source,Applicants,Hires
Customer Success,2024-07,LinkedIn,73,3
Customer Success,2024-07,Referral,38,5
Customer Success,2024-07,Career Site,46,2
Customer Success,2024-07,Indeed,28,1
Customer Success,2024-07,Recruiter Outreach,25,2
Customer Success,2024-07,Glassdoor,20,0
Customer Success,2024-08,LinkedIn,99,4
Customer Success,2024-08,Referral,72,13
Customer Success,2024-08,Career Site,65,2
Customer Success,2024-08,Indeed,51,2
Customer Success,2024-08,Recruiter Outreach,36,3
Customer Success,2024-08,Glassdoor,17,0
Customer Success,2024-09,LinkedIn,51,3
Customer Success,2024-09,Referral,33,4
Customer Success,2024-09,Career Site,34,1
Customer Success,2024-09,Indeed,22,1
Customer Success,2024-09,Recruiter Outreach,27,3
Customer Success,2024-09,Glassdoor,9,0
Customer Success,2024-10,LinkedIn,80,3
Customer Success,2024-10,Referral,69,8
Customer Success,2024-10,Career Site,27,1
Customer Success,2024-10,Indeed,34,1
Customer Success,2024-10,Recruiter Outreach,21,1
Customer Success,2024-10,Glassdoor,18,1
Customer Success,2024-11,LinkedIn,100,3
Customer Success,2024-11,Referral,54,9
Customer Success,2024-11,Career Site,59,2
Customer Success,2024-11,Indeed,50,1
Customer Success,2024-11,Recruiter Outreach,18,1
Customer Success,2024-11,Glassdoor,27,1
Customer Success,2024-12,LinkedIn,96,3
Customer Success,2024-12,Referral,94,11
Customer Success,2024-12,Career Site,73,4
Customer Success,2024-12,Indeed,47,1
Customer Success,2024-12,Recruiter Outreach,50,4
Customer Success,2024-12,Glassdoor,24,1
Customer Success,2025-01,LinkedIn,80,3
Customer Success,2025-01,Referral,64,11
Customer Success,2025-01,Career Site,59,4
Customer Success,2025-01,Indeed,47,1
Customer Success,2025-01,Recruiter Outreach,45,4
Customer Success,2025-01,Glassdoor,24,1
Customer Success,2025-02,LinkedIn,90,3
Customer Success,2025-02,Referral,62,10
Customer Success,2025-02,Career Site,53,3
Customer Success,2025-02,Indeed,34,1
Customer Success,2025-02,Recruiter Outreach,28,2
Customer Success,2025-02,Glassdoor,29,1
Customer Success,2025-03,LinkedIn,73,3
Customer Success,2025-03,Referral,54,8
Customer Success,2025-03,Career Site,56,2
Customer Success,2025-03,Indeed,40,1
Customer Success,2025-03,Recruiter Outreach,18,2
Customer Success,2025-03,Glassdoor,20,1
Customer Success,2025-04,LinkedIn,90,4
Customer Success,2025-04,Referral,61,8
Customer Success,2025-04,Career Site,63,3
Customer Success,2025-04,Indeed,47,2
Customer Success,2025-04,Recruiter Outreach,41,3
Customer Success,2025-04,Glassdoor,19,1
Customer Success,2025-05,LinkedIn,107,4
Customer Success,2025-05,Referral,63,6
Customer Success,2025-05,Career Site,75,3
Customer Success,2025-05,Indeed,50,1
Customer Success,2025-05,Recruiter Outreach,39,3
Customer Success,2025-05,Glassdoor,25,1
Customer Success,2025-06,LinkedIn,70,2
Customer Success,2025-06,Referral,37,4
Customer Success,2025-06,Career Site,49,2
Customer Success,2025-06,Indeed,30,1
Customer Success,2025-06,Recruiter Outreach,28,2
Customer Success,2025-06,Glassdoor,16,0
Customer Success,2025-07,LinkedIn,73,4
Customer Success,2025-07,Referral,68,7
Customer Success,2025-07,Career Site,58,3
Customer Success,2025-07,Indeed,68,2
Customer Success,2025-07,Recruiter Outreach,55,5
Customer Success,2025-07,Glassdoor,23,1
Customer Success,2025-08,LinkedIn,68,2
Customer Success,2025-08,Referral,40,6
Customer Success,2025-08,Career Site,44,2
Customer Success,2025-08,Indeed,33,1
Customer Success,2025-08,Recruiter Outreach,9,1
Customer Success,2025-08,Glassdoor,11,0
Customer Success,2025-09,LinkedIn,60,2
Customer Success,2025-09,Referral,30,3
Customer Success,2025-09,Career Site,42,2
Customer Success,2025-09,Indeed,49,2
Customer Success,2025-09,Recruiter Outreach,23,2
Customer Success,2025-09,Glassdoor,18,0
Customer Success,2025-10,LinkedIn,99,3
Customer Success,2025-10,Referral,62,7
Customer Success,2025-10,Career Site,65,3
Customer Success,2025-10,Indeed,51,2
Customer Success,2025-10,Recruiter Outreach,36,3
Customer Success,2025-10,Glassdoor,14,0
Customer Success,2025-11,LinkedIn,112,3
Customer Success,2025-11,Referral,80,9
Customer Success,2025-11,Career Site,73,3
Customer Success,2025-11,Indeed,61,2
Customer Success,2025-11,Recruiter Outreach,39,3
Customer Success,2025-11,Glassdoor,25,1
Customer Success,2025-12,LinkedIn,73,2
Customer Success,2025-12,Referral,65,8
Customer Success,2025-12,Career Site,49,3
Customer Success,2025-12,Indeed,58,1
Customer Success,2025-12,Recruiter Outreach,26,2
Customer Success,2025-12,Glassdoor,18,1
Design,2024-07,LinkedIn,129,4
Design,2024-07,Referral,79,9
Design,2024-07,Career Site,58,3
Design,2024-07,Indeed,38,1
Design,2024-07,Recruiter Outreach,29,2
Design,2024-07,Glassdoor,20,0
Design,2024-08,LinkedIn,114,5
Design,2024-08,Referral,49,5
Design,2024-08,Career Site,66,4
Design,2024-08,Indeed,45,2
Design,2024-08,Recruiter Outreach,41,3
Design,2024-08,Glassdoor,15,0
Design,2024-09,LinkedIn,69,2
Design,2024-09,Referral,49,6
Design,2024-09,Career Site,42,2
Design,2024-09,Indeed,46,1
Design,2024-09,Recruiter Outreach,26,3
Design,2024-09,Glassdoor,8,0
Design,2024-10,LinkedIn,84,3
Design,2024-10,Referral,48,7
Design,2024-10,Career Site,47,3
Design,2024-10,Indeed,28,1
Design,2024-10,Recruiter Outreach,22,2
Design,2024-10,Glassdoor,17,1
Design,2024-11,LinkedIn,107,4
Design,2024-11,Referral,60,11
Design,2024-11,Career Site,64,3
Design,2024-11,Indeed,66,2
Design,2024-11,Recruiter Outreach,35,4
Design,2024-11,Glassdoor,24,1
Design,2024-12,LinkedIn,94,3
Design,2024-12,Referral,75,11
Design,2024-12,Career Site,58,2
Design,2024-12,Indeed,51,2
Design,2024-12,Recruiter Outreach,48,3
Design,2024-12,Glassdoor,28,1
Design,2025-01,LinkedIn,119,5
Design,2025-01,Referral,90,13
Design,2025-01,Career Site,60,4
Design,2025-01,Indeed,53,1
Design,2025-01,Recruiter Outreach,58,3
Design,2025-01,Glassdoor,30,1
Design,2025-02,LinkedIn,76,4
Design,2025-02,Referral,40,7
Design,2025-02,Career Site,49,3
Design,2025-02,Indeed,46,1
Design,2025-02,Recruiter Outreach,24,2
Design,2025-02,Glassdoor,26,1
Design,2025-03,LinkedIn,94,4
Design,2025-03,Referral,56,5
Design,2025-03,Career Site,51,3
Design,2025-03,Indeed,44,1
Design,2025-03,Recruiter Outreach,29,2
Design,2025-03,Glassdoor,17,1
Design,2025-04,LinkedIn,58,3
Design,2025-04,Referral,48,8
Design,2025-04,Career Site,47,3
Design,2025-04,Indeed,39,1
