Department,Role,Month,Openings,Applicants,Interviews,Offers,Hires,Avg Time to Fill (days),Offer Acceptance Rate
Engineering,Engineering Role 1,2024-01,4,42,25,11,9,32.4,0.82
Engineering,Engineering Role 1,2024-02,4,82,44,33,24,30.8,0.73
Engineering,Engineering Role 1,2024-03,2,82,37,17,16,41.5,0.94
Engineering,Engineering Role 1,2024-04,4,29,10,5,4,35.1,0.8
Engineering,Engineering Role 1,2024-05,5,28,18,14,8,43.9,0.57
Engineering,Engineering Role 1,2024-06,2,35,12,7,6,23.5,0.86
Engineering,Engineering Role 1,2024-07,2,79,46,32,23,25.1,0.72
Engineering,Engineering Role 1,2024-08,3,24,15,7,6,14.5,0.86
Engineering,Engineering Role 1,2024-09,5,53,18,10,9,24.3,0.9
Engineering,Engineering Role 1,2024-10,2,84,49,31,23,27.0,0.74
Engineering,Engineering Role 1,2024-11,1,89,45,26,19,20.5,0.73
Engineering,Engineering Role 1,2024-12,4,32,12,8,4,25.6,0.5
Engineering,Engineering Role 2,2024-01,1,86,26,18,12,23.1,0.67
Engineering,Engineering Role 2,2024-02,4,28,12,6,5,34.3,0.83
Engineering,Engineering Role 2,2024-03,3,72,26,12,7,21.6,0.58
Engineering,Engineering Role 2,2024-04,3,79,50,28,24,22.6,0.86
Engineering,Engineering Role 2,2024-05,3,47,18,10,9,34.9,0.9
Engineering,Engineering Role 2,2024-06,3,93,30,20,13,27.7,0.65
Engineering,Engineering Role 2,2024-07,1,59,37,26,18,37.4,0.69
Engineering,Engineering Role 2,2024-08,1,80,48,31,22,30.7,0.71
Engineering,Engineering Role 2,2024-09,5,33,15,7,6,44.3,0.86
Engineering,Engineering Role 2,2024-10,2,43,27,18,11,36.0,0.61
Engineering,Engineering Role 2,2024-11,2,52,27,21,16,17.2,0.76
Engineering,Engineering Role 2,2024-12,5,43,13,7,4,24.0,0.57
Engineering,Engineering Role 3,2024-01,1,39,15,7,5,44.4,0.71
Engineering,Engineering Role 3,2024-02,1,85,48,23,21,37.3,0.91
Engineering,Engineering Role 3,2024-03,5,87,37,28,24,34.9,0.86
Engineering,Engineering Role 3,2024-04,4,57,18,12,10,26.4,0.83
Engineering,Engineering Role 3,2024-05,5,32,11,8,5,21.9,0.62
Engineering,Engineering Role 3,2024-06,2,87,53,26,19,25.8,0.73
Engineering,Engineering Role 3,2024-07,4,61,25,12,11,44.5,0.92
Engineering,Engineering Role 3,2024-08,4,52,30,13,10,13.6,0.77
Engineering,Engineering Role 3,2024-09,5,50,25,14,10,10.3,0.71
